"PNMA6A"
"RAX2"
"TGFB3"
"ANXA2"
"TFAP2C"
"CXCL1"
"EBI3"
"C21orf62"
"MKNK2"
"TNFRSF1B"
"PCSK1"
"HIGD1B"
"LAT2"
"C5orf48"
"PTGER3"
"GAREML"
"TEAD2"
"GLI1"
"DDIT4L"
"RUNX3"
"RAB3B"
"YBX3"
"CASP1"
"NEUROD1"
"KIAA0408"
"HSD11B2"
"CARD9"
"CHRNA3"
"LRRC32"
"ARHGEF19"
"PRLHR"
"SLC25A48"
"SHC3"
"MT1M"
"TIMP1"
"LSMEM1"
"SLC22A31"
"RHBG"
"LHX1"
"SIX1"
"KLK1"
"SLC22A2"
"SPTLC3"
"DAO"
"CBLN1"
"CCDC144A"
"HTR2C"
"COCH"
"RGS8"
"SCARA5"
"PAX3"
"TNFSF14"
"KLHDC7A"
"CRH"
"FER1L6"
"ANGPT2"
"GJB2"
"MIA"
"C11orf88"
"RORC"
"GDF15"
"GPR149"
"FAM92B"
"C6orf141"
"FOXD2"
"PCP2"
"PPM1E"
"MAS1"
"LRG1"
"HTRA3"
"ADGB"
"ANPEP"
"CLDN7"
"NPAS4"
"FREM3"
"TAC1"
"COL13A1"
"OSTN"
"PLEKHM3"
"ADH1B"
"PAK3"
"ADAMTS5"
"NXPH2"
"GABRE"
"IL17REL"
"RHBDF2"
"PARVG"
"GPRIN2"
"CD36"
"PLCXD2"
"FOXC2"
"CD37"
"C1QA"
"SIGLEC8"
"UPK1A"
"CES1"
"PPBP"
"LCN6"
"ATAD3C"
"CALB1"
"GJA4"
"ECEL1"
"PCOLCE"
"WNT6"
"TLR5"
"IL18"
"MT-ND6"
"KRT5"
"SERTM1"
"PPEF1"
"KLK14"
"OR7A5"
"SYNDIG1L"
"C7orf57"
"SLC52A3"
"NUP210L"
"IL2RG"
"SLC7A14"
"RP11-422N16.3"
"LILRB1"
"SERPINC1"
"C3AR1"
"BDNF"
"TRPC5"
"C1QC"
"C1QB"
"MCHR2"
"NCF4"
"CCDC60"
"FGF5"
"RASAL3"
"TUBAL3"
"CPZ"
"RBBP8NL"
"MYO1F"
"NDUFA4L2"
"SST"
"VGF"
"AL590483.1"
"GAD2"
"C3"
"TREM1"
"FLT3"
"PCDHAC1"
"CPAMD8"
"TOR4A"
"TLR8"
"PNOC"
"SEMA3F"
"ELF4"
"ITGB2"
"HCLS1"
"RNASE3"
"PIK3R5"
"TNFRSF10A"
"TNR"
"PGF"
"CYBA"
"NPBWR1"
"TOP2A"
"NEUROD6"
"PRRX2"
"C1QL3"
"MSX1"
"CP"
"MICB"
"FMOD"
"KLF15"
"TYROBP"
"MMP3"
"IL6"
"FOS"
"STC2"
"C5AR1"
"ADAMTS9"
"THSD4"
"TCF15"
"RNF150"
"LAIR1"
"COL25A1"
"FERMT3"
"HDC"
"LGALS9"
"RAB3IL1"
"SLC17A9"
"PKN3"
"ADD2"
"CYP4B1"
"RBM47"
"UCN2"
"LAT"
"LSMEM2"
"RNASE6"
"LCN2"
"CSAG1"
"C20orf195"
"SIPA1"
"GPRIN3"
"CLDN9"
"HRASLS2"
"HES7"
"CERKL"
"MID1IP1"
"CDA"
"PRELP"
"FOXC1"
"CARD14"
"BCL3"
"FOXF1"
"OLFML2A"
"AC020907.1"
"GPER"
"GDPD3"
"PRRG4"
"LRRC3DN"
"KIF1C"
"GPR97"
"PCDHGC4"
"NPIPL1"
"SIRPB2"
"GABRR2"
"TM4SF1"
"OTOG"
"CLEC18B"
"CCDC175"
"STEAP4"
"IL1RAPL2"
"ID3"
"DEFB1"
"CFD"
"SERPINA3"
"FGR"
"NPFF"
"AC139100.2"
"FAM46A"
"NCF1"
"UBQLNL"
"SLC23A3"
"CD74"
"DOCK6"
"TACR1"
"CHML"
"LILRA5"
"RELN"
"ISYNA1"
"OTOGL"
"TP63"
"CHRNB3"
"CHRNA6"
"SOWAHB"
"C4B"
"LAMB2"
"TENM1"
"AQP1"
"C11orf94"
"CFH"
"SLC32A1"
"PPP1R18"
"FXYD3"
"CLVS2"
"LIPJ"
"NEK2"
"TREM2"
"RELA"
"HK2"
"SYK"
"PNP"
"TTC6"
"RCC1"
"NFAM1"
"SLFNL1"
"RAB20"
"GRK7"
"STXBP2"
"KCNJ15"
"PLIN2"
"FZD2"
"IL17RB"
"SPI1"
"SERPINA1"
"IGJ"
"HTR3B"
"NID1"
"DLL4"
"RNASE2"
"CXorf28"
"PODN"
"ANO2"
"IFITM1"
"MRPS6"
"SNX20"
"KLHL11"
"COL2A1"
"AC104809.3"
"RGL3"
"GPR84"
"AC073343.1"
"AL133318.1"
"MROH6"
"PTH1R"
"AK7"
"AC109583.1"
"SLC7A2"
"IHH"
"KCNA3"
"TJP3"
"CASP7"
"C11orf16"
"IRF1"
"CDKN1A"
"IGFBPL1"
"IFITM2"
"SLC15A3"
"BACE2"
"A-575C2.4"
"LILRA2"
"JMJD6"
"FXYD2"
"FRMPD2"
"LRRN4CL"
"FZD9"
"PRSS42"
"TEAD4"
"SEMA3E"
"SOST"
"S100A11"
"MT1E"
"SERTAD1"
"TRPV4"
"KCNH7"
"PLN"
"EYA2"
"ATHL1"
"SLC4A11"
"DES"
"SH2D6"
"CD4"
"CLSTN2"
"SLC27A6"
