"C10orf85"
"CRYGN"
"SERPIND1"
"PRX"
"FAM160A1"
"NEK10"
"FBLN1"
"ZGLP1"
"IP6K3"
"FAM110D"
"BCL6B"
"KANK2"
"FOLR2"
"MEX3A"
"HK3"
"TNIP2"
"CSF1R"
"STXBP5L"
"CYP21A2"
"GAD1"
"C11orf87"
"FAM229A"
"GPR158"
"ITGA4"
"CCL17"
"FCER1G"
"SLC13A4"
"CCDC151"
"S100A10"
"ITPRIP"
"EXPH5"
"ABI3"
"CD300A"
"SLC16A7"
"TRIM47"
"LYG1"
"GPR35"
"HIST1H2AC"
"ACRC"
"03-Mar"
"LILRA4"
"TUBB6"
"EPS8L1"
"SBNO2"
"CFB"
"TYRP1"
"FCGRT"
"CCL26"
"LCP1"
"ZBBX"
"SLN"
"GPR144"
"SIAH3"
"AC135048.1"
"GZMM"
"NFATC4"
"RCVRN"
"TRIM5"
"ARID5A"
"NRXN3"
"GPX8"
"CIITA"
"CD33"
"FZD8"
"TMEM176B"
"AC018445.1"
"TCF7L1"
"VHLL"
"IGF1"
"MT1X"
"METRNL"
"DNMT3L"
"FBLN7"
"LAMP3"
"CXorf67"
"EGR4"
"GPR61"
"SERPINE1"
"PARD3"
"APOA1"
"HSPA1L"
"P4HA1"
"LCK"
"SCNN1G"
"AEBP1"
"TPD52L1"
"KCNQ1"
"RP11-676J12.7"
"ARPP21"
"PCP4L1"
"ICAM2"
"HIST1H4E"
"SMOX"
"CNTD2"
"CFI"
"IFITM3"
"CXorf36"
"CLDN5"
"ACSM1"
"GPR88"
"ALX3"
"HLA-DQA1"
"BATF"
"SLC12A7"
"IL15RA"
"DOK1"
"SYDE1"
"STARD8"
"SMO"
"CALN1"
"SYN3"
"GPR26"
"ANGPTL4"
"FLT4"
"NCALD"
"OSR1"
"PLOD1"
"FGD2"
"RAB3C"
"RAB27B"
"SLC26A7"
"GADD45B"
"CD7"
"GDA"
"TSKU"
"S1PR3"
"PCP4"
"ITGAM"
"ROBO2"
"RASGRP4"
"ALOX15B"
"MFNG"
"MUC1"
"LPIN3"
"C17orf102"
"HS6ST2"
"LBP"
"NOMO3"
"GABRA1"
"PTPRR"
"TSACC"
"NAGS"
"EIF4EBP1"
"AJUBA"
"EEF1G"
"TARBP1"
"ADORA3"
"EPHX1"
"FKBP4"
"TRIM67"
"DGKB"
"GABRB2"
"P4HA2"
"PPP1R3G"
"CEBPB"
"SOWAHD"
"GTSF1"
"CCKAR"
"HGF"
"SLC6A5"
"VIM"
"TLR7"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
