"SIPA1"
"PNOC"
"SEMA3F"
"RNASE3"
"LSMEM1"
"PIK3R5"
"TNFRSF10A"
"VNN2"
"MICB"
"KLF15"
"MMP3"
"IL6"
"ADAMTS9"
"FERMT3"
"HDC"
"SLC17A9"
"PKN3"
"ADD2"
"RBM47"
"CSAG1"
"GPRIN3"
"CERKL"
"CDA"
"CARD14"
"FOXF1"
"AC020907.1"
"GPER"
"PRRG4"
"LRRC3DN"
"OR3A3"
"NPIPL1"
"GABRR2"
"TM4SF1"
"OTOG"
"CLEC18B"
"RCAN3"
"FGR"
"AC139100.2"
"FAM46A"
"NCF1"
"UBQLNL"
"HTR4"
"SLC23A3"
"DOCK6"
"ISYNA1"
"CHRNA6"
"LAMB2"
"C11orf94"
"SLC32A1"
"PPP1R18"
"FXYD3"
"LIPJ"
"RELA"
"PNP"
"RCC1"
"NFAM1"
"SLFNL1"
"STXBP2"
"KCNJ15"
"SPI1"
"SERPINA1"
"IGJ"
"HTR3B"
"DLL4"
"RNASE2"
"ANO2"
"MRPS6"
"COL2A1"
"AC104809.3"
"RGL3"
"GPR84"
"MROH6"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
